category,lat,lon,x_m_from_SW,y_m_from_SW,depth_m,weed_m,fish_rate,n_pings,dist_from_swim_m,bearing_from_swim
bronze,51.745184946695964,-1.4353931756019593,0.0,74.0,1.2801052631578946,0.007484893294630958,0.05263157894736842,19.0,84.58322270576544,269.5908406118243
bronze,51.74505882056984,-1.4340836486386952,90.0,60.0,1.1125344827586208,0.06369083928379202,0.05172413793103448,58.0,15.57697690857532,159.64223890653454
weeded,51.744914676425694,-1.4334143348574713,136.0,44.0,1.3949999999999998,0.2480055497745404,0.6666666666666666,3.0,59.83738579184377,120.76067112187712
weeded,51.744896658407676,-1.4344037552297153,68.0,42.0,1.0843333333333334,0.1695282691640652,0.5416666666666666,24.0,36.57805063935442,206.9560205717444
weeded,51.74495071246173,-1.4353058738044084,6.0,48.0,1.099,0.15305237599722513,0.5,24.0,82.96238754228685,251.2962088744245
weeded,51.744896658407676,-1.4343164534321644,74.0,42.0,1.168793103448276,0.21104692190845262,0.3793103448275862,29.0,34.277995808542975,197.97993507790196
weeded,51.74496873047975,-1.4344910570272662,62.0,50.0,1.1965714285714286,0.23867333960986406,0.3333333333333333,21.0,33.39554282225003,222.5450776562366
weeded,51.74487864038966,-1.434345554031348,72.0,40.0,1.2575744680851064,0.26549619560003246,0.3191489361702128,47.0,36.8201213421706,199.97986939315376
weeded,51.744914676425694,-1.4352767732052247,8.0,44.0,1.2468461538461537,0.24460364470770296,0.3076923076923077,26.0,82.46978618133589,248.21691509006385
weeded,51.74495071246173,-1.4344619564280825,64.0,48.0,1.248304347826087,0.17624555741553433,0.30434782608695654,69.0,33.63560749331907,217.7258016299727
weeded,51.744914676425694,-1.4343164534321644,74.0,44.0,1.1087083333333334,0.24569314371603654,0.2916666666666667,24.0,32.381552180581274,199.0723692612367
weeded,51.744896658407676,-1.4343746546305316,70.0,42.0,1.3094545454545454,0.3416579951439473,0.2727272727272727,11.0,35.715956162481234,204.09499710521777
weeded,51.74496873047975,-1.434432855828899,66.0,50.0,1.1454666666666666,0.23982541334258295,0.26666666666666666,60.0,30.83202478662315,217.0602671977597
weeded,51.744914676425694,-1.4353058738044084,6.0,44.0,1.187,0.21256792692796853,0.26666666666666666,30.0,84.33024307311202,248.72117968111098
weeded,51.74496873047975,-1.4345492582256336,58.0,50.0,1.232875,0.3232310093652445,0.25,16.0,36.22030933526834,227.21197601106633
weeded,51.744896658407676,-1.434345554031348,72.0,42.0,1.191909090909091,0.254942767950052,0.25,44.0,34.94717814967877,201.10033987817062
weeded,51.744914676425694,-1.4351312702093064,18.0,44.0,1.3312800000000002,0.22976066597294484,0.24,25.0,73.27785690725939,245.3141006722004
weeded,51.74495071246173,-1.434432855828899,66.0,48.0,1.0897875,0.2672780090183836,0.2375,160.0,32.45042106767994,214.93163424502606
weeded,51.74493269444371,-1.4343164534321644,74.0,46.0,1.0704545454545455,0.24469460473622806,0.22727272727272727,22.0,30.498341702409427,200.30020820529242
weeded,51.74493269444371,-1.434345554031348,72.0,46.0,1.0527222222222221,0.21216325586773035,0.2222222222222222,18.0,31.24856973641868,203.741602809512
weeded,51.74486062237164,-1.4342873528329807,76.0,38.0,1.2543063063063065,0.3127607315952789,0.21171171171171171,222.0,37.59639454427988,193.19357689750333
weeded,51.744914676425694,-1.4344910570272662,62.0,44.0,1.3032978723404254,0.20746464355736613,0.20567375886524822,141.0,38.033018621627726,216.4216287886549
weeded,51.744896658407676,-1.434432855828899,66.0,42.0,1.2393125,0.25186437738466877,0.2,80.0,37.527030958364826,209.67886281846498
weeded,51.74495071246173,-1.435247672606041,10.0,48.0,1.3488846153846152,0.1558205928653379,0.19230769230769232,26.0,79.18402123387521,250.36803344046035
weeded,51.744824586335604,-1.4342291516346135,80.0,34.0,1.4157948717948718,0.21407543780072394,0.18803418803418803,117.0,40.86162631165004,186.43705962246028
weeded,51.744914676425694,-1.434432855828899,66.0,44.0,1.1602758620689657,0.26790519932541534,0.1810344827586207,116.0,35.80310011051124,211.26380639055682
weeded,51.744914676425694,-1.4344037552297153,68.0,44.0,1.1883865336658355,0.20905073424658954,0.17955112219451372,401.0,34.80715032214494,208.44855778810722
weeded,51.744914676425694,-1.434258252233797,78.0,44.0,1.1604594594594595,0.18683615978100887,0.16216216216216217,37.0,31.30361630345473,192.1360310000264
weeded,51.74475251426353,-1.4348693648166537,36.0,26.0,1.4539333333333333,0.27691062550583884,0.13333333333333333,30.0,68.72023437378368,224.98646812496625
weeded,51.74496873047975,-1.4344619564280825,64.0,50.0,1.277808510638298,0.17789536608585915,0.1276595744680851,47.0,32.077063712532045,219.91221371161998
weeded,51.74511287462389,-1.4340836486386952,90.0,66.0,1.06515625,0.16947407214706903,0.125,32.0,10.168283263655825,147.79668986632515
weeded,51.74487864038966,-1.4351894714076738,14.0,40.0,1.33704,0.2804717308359348,0.12,25.0,78.60741053440279,243.88251586934882
weeded,51.74478855029957,-1.4348111636182863,40.0,30.0,1.3678800000000002,0.1580298300381547,0.12,25.0,63.063380296209985,224.98525430097328
weeded,51.744896658407676,-1.4342291516346135,80.0,42.0,1.077457142857143,0.28160150636737524,0.11428571428571428,35.0,32.92427986647245,187.99805264962646
weeded,51.744986748497766,-1.4338217432460423,108.0,52.0,1.3982222222222223,0.15878521601726595,0.1111111111111111,9.0,32.548243177525826,133.98558604099458
weeded,51.744914676425694,-1.4342000510354298,82.0,44.0,1.2091338582677165,0.18446445495041527,0.11023622047244094,127.0,30.71266620995523,184.82077383150204
weeded,51.744914676425694,-1.4344619564280825,64.0,44.0,1.2308316831683168,0.3618514817142484,0.10891089108910891,101.0,36.880702833571185,213.92065566510254
weeded,51.74478855029957,-1.4331233288656349,156.0,30.0,1.9335675675675676,0.44604437944708497,0.10810810810810811,37.0,84.20322217017863,121.98644838354278
weeded,51.74495071246173,-1.4344037552297153,68.0,48.0,0.9912702702702703,0.24814616906188186,0.10810810810810811,37.0,31.348134928490257,211.93339658373716
weeded,51.74487864038966,-1.4342000510354298,82.0,40.0,1.3710860215053764,0.15403608099388705,0.10752688172043011,93.0,34.70014431926313,184.26571409533824
